category,name,name_1,formula,message,oid,expiry_time,ename,obj_id,name_2,enum,descr_1
Availability,Netgate: WAN Circuit Monitoring,Primary WAN Circuit Ok,'o_9452' == 'eth1',Primary WAN Circuit Ok,.1.3.6.1.4.1.74.1.30.2.1.0,10,Netgate: Primary WAN Circuit Failed,9452,Primary WAN Interface,,
Availability,Netgate: WAN Circuit Monitoring,Primary WAN Circuit Failed,'o_9452' == 'eth2',Primary WAN Circuit Failed,.1.3.6.1.4.1.74.1.30.2.1.0,10,Netgate: Primary WAN Circuit Failed,9452,Primary WAN Interface,,
Environmental,Dell OpenManage: Array,Dell: OpenManage Array Disk Resynching,(o_2381 == 15),Dell: OpenManage Array Disk State is Resynching,.1.3.6.1.4.1.674.10893.1.20.130.4.1.4,90,Dell: OpenManage Array Disk State is Degraded,2381,Array Disk State,1:ready#2:failed#3:online#4:offline#6:degraded#7:recovering#11:removed#15:resynching#24:rebuild#25:noMedia#26:formatting#28:diagnostics#35:initializing#,"The current state of the array disk. Possible states: 0: Unknown 1: Ready - Available for use, but no RAID configuration has been assigned. 2: Failed - Not operational. 3: Online - Operational. RAID configuration has been assigned. 4: Offline - The drive is not available to the RAID controller. 6: Degraded - Refers to a fault-tolerant array/virtual disk that has a failed disk. 7: Recovering - Refers to state of recovering from bad blocks on disks. 11: Removed - Indicates that array disk has been removed. 15: Resynching - Indicates one of the following types of disk operations: Transform Type, Reconfiguration, and Check Consistency. 24: Rebuild 25: No Media - CD-ROM or removable disk has no media. 26: Formatting - In the process of formatting. 28: Diagnostics - Diagnostics are running. 35: Initializing: Applies only to virtual disks on PERC, PERC 2/SC, and PERC 2/DC controllers."
Environmental,Dell OpenManage: Array,Dell: OpenManage Array Disk Failed,(o_2381 == 2),Dell: OpenManage Array Disk State is Failed,.1.3.6.1.4.1.674.10893.1.20.130.4.1.4,90,Dell: OpenManage Array Disk State is Degraded,2381,Array Disk State,1:ready#2:failed#3:online#4:offline#6:degraded#7:recovering#11:removed#15:resynching#24:rebuild#25:noMedia#26:formatting#28:diagnostics#35:initializing#,"The current state of the array disk. Possible states: 0: Unknown 1: Ready - Available for use, but no RAID configuration has been assigned. 2: Failed - Not operational. 3: Online - Operational. RAID configuration has been assigned. 4: Offline - The drive is not available to the RAID controller. 6: Degraded - Refers to a fault-tolerant array/virtual disk that has a failed disk. 7: Recovering - Refers to state of recovering from bad blocks on disks. 11: Removed - Indicates that array disk has been removed. 15: Resynching - Indicates one of the following types of disk operations: Transform Type, Reconfiguration, and Check Consistency. 24: Rebuild 25: No Media - CD-ROM or removable disk has no media. 26: Formatting - In the process of formatting. 28: Diagnostics - Diagnostics are running. 35: Initializing: Applies only to virtual disks on PERC, PERC 2/SC, and PERC 2/DC controllers."
Environmental,Dell OpenManage: Array,Dell: OpenManage Array Rebuilding,(o_2381 == 24),Dell: OpenManage Array Disk State is Rebuilding,.1.3.6.1.4.1.674.10893.1.20.130.4.1.4,90,Dell: OpenManage Array Disk State is Degraded,2381,Array Disk State,1:ready#2:failed#3:online#4:offline#6:degraded#7:recovering#11:removed#15:resynching#24:rebuild#25:noMedia#26:formatting#28:diagnostics#35:initializing#,"The current state of the array disk. Possible states: 0: Unknown 1: Ready - Available for use, but no RAID configuration has been assigned. 2: Failed - Not operational. 3: Online - Operational. RAID configuration has been assigned. 4: Offline - The drive is not available to the RAID controller. 6: Degraded - Refers to a fault-tolerant array/virtual disk that has a failed disk. 7: Recovering - Refers to state of recovering from bad blocks on disks. 11: Removed - Indicates that array disk has been removed. 15: Resynching - Indicates one of the following types of disk operations: Transform Type, Reconfiguration, and Check Consistency. 24: Rebuild 25: No Media - CD-ROM or removable disk has no media. 26: Formatting - In the process of formatting. 28: Diagnostics - Diagnostics are running. 35: Initializing: Applies only to virtual disks on PERC, PERC 2/SC, and PERC 2/DC controllers."
Environmental,Dell OpenManage: Array,Dell: OpenManage Array Degraded Disk,(o_2381 == 6),Dell: OpenManage Array Disk State is Degraded,.1.3.6.1.4.1.674.10893.1.20.130.4.1.4,90,Dell: OpenManage Array Disk State is Degraded,2381,Array Disk State,1:ready#2:failed#3:online#4:offline#6:degraded#7:recovering#11:removed#15:resynching#24:rebuild#25:noMedia#26:formatting#28:diagnostics#35:initializing#,"The current state of the array disk. Possible states: 0: Unknown 1: Ready - Available for use, but no RAID configuration has been assigned. 2: Failed - Not operational. 3: Online - Operational. RAID configuration has been assigned. 4: Offline - The drive is not available to the RAID controller. 6: Degraded - Refers to a fault-tolerant array/virtual disk that has a failed disk. 7: Recovering - Refers to state of recovering from bad blocks on disks. 11: Removed - Indicates that array disk has been removed. 15: Resynching - Indicates one of the following types of disk operations: Transform Type, Reconfiguration, and Check Consistency. 24: Rebuild 25: No Media - CD-ROM or removable disk has no media. 26: Formatting - In the process of formatting. 28: Diagnostics - Diagnostics are running. 35: Initializing: Applies only to virtual disks on PERC, PERC 2/SC, and PERC 2/DC controllers."
Environmental,Dell OpenManage: Array,Dell: OpenManage Array Disk Recovering,(o_2381 == 7),Dell: OpenManage Array Disk State is Recovering,.1.3.6.1.4.1.674.10893.1.20.130.4.1.4,90,Dell: OpenManage Array Disk State is Degraded,2381,Array Disk State,1:ready#2:failed#3:online#4:offline#6:degraded#7:recovering#11:removed#15:resynching#24:rebuild#25:noMedia#26:formatting#28:diagnostics#35:initializing#,"The current state of the array disk. Possible states: 0: Unknown 1: Ready - Available for use, but no RAID configuration has been assigned. 2: Failed - Not operational. 3: Online - Operational. RAID configuration has been assigned. 4: Offline - The drive is not available to the RAID controller. 6: Degraded - Refers to a fault-tolerant array/virtual disk that has a failed disk. 7: Recovering - Refers to state of recovering from bad blocks on disks. 11: Removed - Indicates that array disk has been removed. 15: Resynching - Indicates one of the following types of disk operations: Transform Type, Reconfiguration, and Check Consistency. 24: Rebuild 25: No Media - CD-ROM or removable disk has no media. 26: Formatting - In the process of formatting. 28: Diagnostics - Diagnostics are running. 35: Initializing: Applies only to virtual disks on PERC, PERC 2/SC, and PERC 2/DC controllers."
Availability,Secondary Traffic Monitor - SSH - No VPN - TSI,WAN2 Down,(result('o_20910') == 'down') or (result('o_20910') == 'die'),WAN2 state returned a value that was not 'UP'.  Please check for issues affecting the gwdetect link status for WAN2,Traffic_Status,180,GWdetect WAN2 Down - Town Sports,20910,Traffic Status,,WAN 2 State
Availability,Secondary Traffic Monitor - SSH - No VPN - TSI,WAN2 Recovered,(result('o_20910') == 'up') and active(a_2553),WAN2 state returned a value that was 'UP',Traffic_Status,180,GWdetect WAN2 Down - Town Sports,20910,Traffic Status,,WAN 2 State
Availability,Secondary Traffic Monitor - SSH - No VPN - PARADIES,WAN2 Down,(result('o_20931') == 'down') or (result('o_20931') == 'die'),WAN2 state returned a value that was not 'UP'.  Please check for issues affecting the gwdetect link status for WAN2,Traffic_Status_W2,0,WAN1 Down,20931,Traffic Status_W2,,WAN 1 State
Availability,Secondary Traffic Monitor - SSH - No VPN - PARADIES,WAN2 Down,(result('o_20931') == 'down') or (result('o_20931') == 'die'),WAN2 state returned a value that was not 'UP'.  Please check for issues affecting the gwdetect link status for WAN2,Traffic_Status_W2,180,GWdetect WAN2 Down - Paradies,20931,Traffic Status_W2,,WAN 1 State
Availability,Secondary Traffic Monitor - SSH - No VPN - PARADIES,WAN2 Recovered,(result('o_20931') == 'up') and active(a_2562),WAN2 state returned a value that was 'UP',Traffic_Status_W2,0,WAN1 Down,20931,Traffic Status_W2,,WAN 1 State
Availability,Secondary Traffic Monitor - SSH - No VPN - PARADIES,WAN2 Recovered,(result('o_20931') == 'up') and active(a_2562),WAN2 state returned a value that was 'UP',Traffic_Status_W2,180,GWdetect WAN2 Down - Paradies,20931,Traffic Status_W2,,WAN 1 State
Availability,Secondary Traffic Monitor - SSH - No VPN - PARADIES,WAN1 Down,(result('o_20935') == 'down') or (result('o_20935') == 'die'),WAN1 state returned a value that was not 'UP'.  Please check for issues affecting the gwdetect link status for WAN1,Traffic_Status_W1,0,WAN1 Down,20935,Traffic Status_W1,,WAN 2 State
